"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.28810098003192e-151,1.41847236656584,0.554,0.291,5.23149332030165e-147,"30","Kiz"
1.77067811676522e-151,0.806636278086423,0.609,0.295,7.19143210343026e-147,"30","Tcf7l2"
3.8225119165965e-151,1.10659571914353,0.752,0.512,1.5524749898065e-146,"30","Mfap2"
5.93441072593138e-151,1.14232734940917,0.737,0.529,2.41020157222977e-146,"30","Pdcd4"
2.35262040993183e-150,2.07444180802298,0.253,0.076,9.55493253289715e-146,"30","Dusp3"
2.4815114076421e-150,0.690568698987407,0.971,0.897,1.00784104309976e-145,"30","Son"
1.75706486914024e-149,1.00365608769933,0.778,0.617,7.13614325952618e-145,"30","Ckap5"
1.8132057473023e-149,0.963720198785502,0.585,0.285,7.36415382209357e-145,"30","Mir9-3hg"
2.33547800503854e-149,1.22395373226185,0.672,0.432,9.48531036966355e-145,"30","Hsd17b10"
2.36545413418262e-149,1.69555939458821,0.408,0.171,9.60705542056928e-145,"30","Slc35a2"
3.99140702590957e-149,0.886972732369615,0.831,0.698,1.62107004950291e-144,"30","Rhoa"
7.55349992216909e-149,1.6067093638262,0.434,0.191,3.06777845838976e-144,"30","Zdhhc1"
3.1758231716499e-148,1.40788225445871,0.577,0.322,1.28982882293389e-143,"30","Ttc8"
1.57300037918629e-147,1.91928366036385,0.261,0.08,6.3885837400272e-143,"30","Fam210b"
2.38216554313823e-147,1.73747013729122,0.362,0.14,9.67492713690162e-143,"30","Pgm1"
5.16785280844183e-147,1.27857886168226,0.615,0.392,2.09887173962056e-142,"30","Ctsb"
5.32769760332357e-147,1.10379836113923,0.745,0.531,2.16379110461384e-142,"30","Tmem256"
9.63669559178964e-147,1.15858484019129,0.843,0.705,3.91384754764945e-142,"30","B3galt1"
1.44489142805794e-146,1.66796070516271,0.469,0.228,5.8682820459145e-142,"30","Nek1"
2.06045684763207e-146,0.950099428851115,0.817,0.636,8.36833944097289e-142,"30","Tmed10"
6.45395175886847e-146,1.53857789390761,0.496,0.245,2.62120796734684e-141,"30","D430042O09Rik"
6.50244307087184e-146,1.3267529412,0.576,0.352,2.64090222880389e-141,"30","Ctsd"
2.90784618659881e-145,1.26985376697931,0.635,0.396,1.18099265022524e-140,"30","Shisa4"
5.10202126614789e-145,1.4838586930532,0.403,0.166,2.0721349170333e-140,"30","Dusp16"
9.49930811053109e-145,1.89007054709587,0.362,0.144,3.85804899601109e-140,"30","Cry2"
1.48099856054769e-144,1.59193371026607,0.421,0.182,6.01492755380839e-140,"30","Cd164"
5.3115253034642e-144,1.34180476287942,0.533,0.271,2.15722288674895e-139,"30","Stk3"
1.90752526678452e-143,0.727010206886171,0.902,0.803,7.74722311851866e-139,"30","Ubl5"
7.77371293307995e-143,0.803594836831474,0.873,0.745,3.15721577064109e-138,"30","Rcn2"
8.4982202285873e-143,0.845076357751064,0.842,0.691,3.45146716363845e-138,"30","Nrcam"
